eps,min_samples,metric,silhouette,calinski_harabasz,davies_bouldin,n_clusters
0.05,2,euclidean,-0.6176855480446477,156.70928200283265,2.7645586539300844,160
0.05,5,euclidean,-0.34509161485427386,770.718708652261,3.1637177071271534,28
0.05,10,euclidean,-0.20443915329593546,1173.8337606578907,2.6314236773793027,18
0.05,20,euclidean,-0.5038231434971674,37.689481293162274,1.4950620846647298,86
0.06785714285714287,2,euclidean,-0.7117491373360535,51.54375297964741,1.8881902156107673,97
0.06785714285714287,5,euclidean,-0.5342328177738576,203.41243575962991,1.754620036706359,34
0.06785714285714287,10,euclidean,-0.034958378182302026,2320.193091660501,1.9148213749386396,9
0.06785714285714287,20,euclidean,-0.07497891326394931,1512.0014921645072,1.9619458300197041,14
0.08571428571428572,2,euclidean,-0.7107070643486099,9.607454482415221,1.7337951557335178,41
0.08571428571428572,5,euclidean,-0.6184428598997527,13.216738846743675,2.2295567931750164,20
0.08571428571428572,10,euclidean,-0.3357651286938054,780.7901047703799,1.7169205005787023,10
0.08571428571428572,20,euclidean,-0.05004684173519905,2370.1610263607377,2.147935712450291,9
0.10357142857142856,2,euclidean,-0.5792393849340101,6.491241952324909,3.469161990497354,13
0.10357142857142856,5,euclidean,-0.44928445066780626,14.786744849959666,9.161283753745506,11
0.10357142857142856,10,euclidean,-0.2111195045551432,526.5537162181464,2.31522397194789,8
0.10357142857142856,20,euclidean,0.1268988319830904,1411.078352489283,2.4218990171850856,3
0.12142857142857143,2,euclidean,-0.3816914885116,4.768326317069258,1.729916155830204,5
0.12142857142857143,5,euclidean,-0.08861621943563966,12.486105284496643,11.057245966188033,3
0.12142857142857143,10,euclidean,-0.1858009182037178,16.526163397053466,3.8377164106650574,4
0.12142857142857143,20,euclidean,0.2291078448119224,2053.154631908525,2.512451572384108,2
0.1392857142857143,2,euclidean,-0.14700812790237422,3.5036708830437275,0.7342896487217984,2
0.1392857142857143,10,euclidean,0.04742056846451523,11.037410099248214,14.904299416655489,2
0.1392857142857143,20,euclidean,0.24192403255306477,2067.9509242789527,2.518860142386961,2
0.15714285714285714,10,euclidean,0.007767109301853105,20.729315445453892,2.2209876768536696,2
0.15714285714285714,20,euclidean,0.2583960805979178,2094.7118424219098,2.5194218179822485,2
