eps,min_samples,n_clusters,noise,silhouette,calinski_harabasz,davies_bouldin
0.05,10,18,1029,-0.20443915329593546,1173.8337606578907,2.6314236773793027
0.07500000000000001,10,9,589,-0.19379483273582715,880.4201855379262,2.109296812136499
0.1,10,7,322,-0.18807744294627304,598.9481155367913,2.3399455103860713
0.125,10,4,135,-0.1908424628169208,17.82620815353068,3.466652131412173
0.15000000000000002,10,1,48,-1.0,-1.0,-1.0
0.175,10,1,6,-1.0,-1.0,-1.0
0.2,10,1,1,-1.0,-1.0,-1.0
0.22500000000000003,10,1,0,-1.0,-1.0,-1.0
0.25,10,1,0,-1.0,-1.0,-1.0
